日次,新規,更新,不明,日次合計
2021/3/1,2,3,0,5
2021/3/2,4,5,0,9
2021/3/3,2,6,0,8
2021/3/4,2,3,0,5
2021/3/5,1,3,0,4
2021/3/6,2,2,0,4
2021/3/7,2,4,0,6
2021/3/8,2,6,0,8
2021/3/9,1,3,0,4
2021/3/10,1,4,0,5
2021/3/11,3,0,0,3
2021/3/12,0,1,0,1
2021/3/13,1,2,0,3
2021/3/14,1,0,0,1
2021/3/15,0,2,0,2
2021/3/16,1,2,0,3
2021/3/17,1,4,0,5
2021/3/18,5,2,0,7
2021/3/19,4,4,0,8
2021/3/20,3,4,0,7
2021/3/21,3,7,0,10
2021/3/22,1,4,0,5
2021/3/23,4,5,0,9
2021/3/24,2,6,0,8
2021/3/25,2,3,0,5
2021/3/26,1,3,0,4
2021/3/27,3,3,0,6
2021/3/28,4,3,0,7
2021/3/29,2,2,0,4
2021/3/30,3,2,0,5
2021/3/31,2,3,0,5
2021/4/1,2,2,0,4
2021/4/2,3,2,0,5
2021/4/3,1,4,0,5
2021/4/4,1,1,0,2
